	metadata	all_values_identical	total_n	n_missing_values	n_real_values	completeness	n_unique_values	unique_values	unique_rate	if_character_existed	n_characters	if_all_integers	n_integers	if_numeric_existed	n_numeric	numeric_var	categorical_var
Row.names	Row.names	FALSE	637	0	637	1	637	V1_10_11_T1|V1_10_11_T2|V1_10_12_T1|V1_10_12_T2|V1_10_13_T1|V1_10_13_T2|V1_10_14_T1|V1_10_14_T2|V1_10_15_T1|V1_10_15_T2|V1_10_21_T1|V1_10_21_T2|V1_10_22_T1|V1_10_22_T2|V1_10_23_T1|V1_10_23_T2|V1_10_24_T1|V1_10_24_T2|V1_10_25_T1|V1_10_25_T2|V1_10_31_T1|V1_10_31_T2|V1_10_32_T1|V1_10_32_T2|V1_10_33_T1|V1_10_33_T2|V1_10_34_T1|V1_10_34_T2|V1_10_35_T1|V1_10_35_T2|V1_10_41_T1|V1_10_41_T2|V1_10_42_T1|V1_10_42_T2|V1_10_43_T1|V1_10_43_T2|V1_10_44_T1|V1_10_44_T2|V1_10_45_T1|V1_10_45_T2|V1_14_11_T1|V1_14_11_T2|V1_14_12_T1|V1_14_12_T2|V1_14_13_T1|V1_14_13_T2|V1_14_14_T1|V1_14_14_T2|V1_14_15_T1|V1_14_15_T2|V1_14_21_T1|V1_14_21_T2|V1_14_22_T1|V1_14_22_T2|V1_14_23_T1|V1_14_23_T2|V1_14_24_T1|V1_14_24_T2|V1_14_25_T1|V1_14_25_T2|V1_14_31_T1|V1_14_31_T2|V1_14_32_T1|V1_14_32_T2|V1_14_33_T1|V1_14_33_T2|V1_14_34_T1|V1_14_34_T2|V1_14_35_T1|V1_14_35_T2|V1_14_41_T1|V1_14_41_T2|V1_14_42_T1|V1_14_42_T2|V1_14_43_T1|V1_14_43_T2|V1_14_44_T1|V1_14_44_T2|V1_14_45_T1|V1_14_45_T2|V1_21_11_T1|V1_21_11_T2|V1_21_12_T1|V1_21_12_T2|V1_21_13_T1|V1_21_13_T2|V1_21_14_T1|V1_21_14_T2|V1_21_15_T1|V1_21_15_T2|V1_21_21_T1|V1_21_21_T2|V1_21_22_T1|V1_21_22_T2|V1_21_23_T1|V1_21_23_T2|V1_21_24_T1|V1_21_24_T2|V1_21_25_T1|V1_21_25_T2|V1_21_31_T1|V1_21_31_T2|V1_21_32_T1|V1_21_32_T2|V1_21_33_T1|V1_21_33_T2|V1_21_34_T1|V1_21_34_T2|V1_21_35_T1|V1_21_35_T2|V1_21_41_T1|V1_21_41_T2|V1_21_42_T1|V1_21_42_T2|V1_21_43_T1|V1_21_43_T2|V1_21_44_T1|V1_21_44_T2|V1_21_45_T1|V1_21_45_T2|V1_23_11_T1|V1_23_11_T2|V1_23_12_T1|V1_23_12_T2|V1_23_13_T1|V1_23_13_T2|V1_23_14_T1|V1_23_14_T2|V1_23_15_T1|V1_23_15_T2|V1_23_21_T1|V1_23_21_T2|V1_23_22_T1|V1_23_22_T2|V1_23_23_T1|V1_23_23_T2|V1_23_24_T1|V1_23_24_T2|V1_23_25_T1|V1_23_25_T2|V1_23_31_T1|V1_23_31_T2|V1_23_32_T1|V1_23_32_T2|V1_23_33_T1|V1_23_33_T2|V1_23_34_T1|V1_23_34_T2|V1_23_35_T1|V1_23_35_T2|V1_23_41_T1|V1_23_41_T2|V1_23_42_T1|V1_23_42_T2|V1_23_43_T1|V1_23_43_T2|V1_23_44_T1|V1_23_44_T2|V1_23_45_T1|V1_23_45_T2|V1_24_11_T1|V1_24_11_T2|V1_24_12_T1|V1_24_12_T2|V1_24_13_T1|V1_24_13_T2|V1_24_14_T1|V1_24_14_T2|V1_24_15_T1|V1_24_15_T2|V1_24_21_T1|V1_24_21_T2|V1_24_22_T1|V1_24_22_T2|V1_24_23_T1|V1_24_23_T2|V1_24_24_T1|V1_24_24_T2|V1_24_25_T1|V1_24_25_T2|V1_24_31_T1|V1_24_31_T2|V1_24_32_T1|V1_24_32_T2|V1_24_33_T1|V1_24_33_T2|V1_24_34_T1|V1_24_34_T2|V1_24_35_T1|V1_24_35_T2|V1_24_41_T1|V1_24_41_T2|V1_24_42_T1|V1_24_42_T2|V1_24_43_T1|V1_24_43_T2|V1_24_44_T1|V1_24_44_T2|V1_24_45_T1|V1_24_45_T2|V1_5_11_T1|V1_5_11_T2|V1_5_12_T1|V1_5_12_T2|V1_5_13_T1|V1_5_13_T2|V1_5_14_T1|V1_5_14_T2|V1_5_15_T1|V1_5_15_T2|V1_5_21_T1|V1_5_21_T2|V1_5_22_T1|V1_5_22_T2|V1_5_23_T1|V1_5_23_T2|V1_5_24_T1|V1_5_24_T2|V1_5_25_T1|V1_5_25_T2|V1_5_31_T1|V1_5_31_T2|V1_5_32_T1|V1_5_32_T2|V1_5_33_T1|V1_5_33_T2|V1_5_34_T1|V1_5_34_T2|V1_5_35_T1|V1_5_35_T2|V1_5_41_T1|V1_5_41_T2|V1_5_42_T1|V1_5_42_T2|V1_5_43_T1|V1_5_43_T2|V1_5_44_T1|V1_5_44_T2|V1_5_45_T1|V1_5_45_T2|V2_15_11_T1|V2_15_11_T2|V2_15_12_T1|V2_15_12_T2|V2_15_13_T1|V2_15_13_T2|V2_15_14_T1|V2_15_14_T2|V2_15_15_T1|V2_15_15_T2|V2_15_21_T1|V2_15_21_T2|V2_15_22_T1|V2_15_22_T2|V2_15_23_T1|V2_15_23_T2|V2_15_24_T1|V2_15_24_T2|V2_15_25_T1|V2_15_25_T2|V2_15_31_T1|V2_15_31_T2|V2_15_32_T1|V2_15_32_T2|V2_15_33_T1|V2_15_33_T2|V2_15_34_T1|V2_15_34_T2|V2_15_35_T1|V2_15_35_T2|V2_15_41_T1|V2_15_41_T2|V2_15_42_T1|V2_15_42_T2|V2_15_43_T1|V2_15_43_T2|V2_15_44_T1|V2_15_44_T2|V2_15_45_T1|V2_15_45_T2|V2_16_11_T1|V2_16_11_T2|V2_16_12_T1|V2_16_12_T2|V2_16_13_T1|V2_16_13_T2|V2_16_14_T1|V2_16_14_T2|V2_16_15_T1|V2_16_15_T2|V2_16_21_T1|V2_16_21_T2|V2_16_22_T1|V2_16_22_T2|V2_16_23_T1|V2_16_23_T2|V2_16_24_T1|V2_16_24_T2|V2_16_25_T1|V2_16_25_T2|V2_16_31_T1|V2_16_31_T2|V2_16_32_T1|V2_16_32_T2|V2_16_33_T1|V2_16_33_T2|V2_16_34_T1|V2_16_34_T2|V2_16_35_T1|V2_16_35_T2|V2_16_41_T1|V2_16_41_T2|V2_16_42_T1|V2_16_42_T2|V2_16_43_T1|V2_16_43_T2|V2_16_44_T1|V2_16_44_T2|V2_16_45_T1|V2_16_45_T2|V2_24_11_T1|V2_24_11_T2|V2_24_12_T1|V2_24_12_T2|V2_24_13_T1|V2_24_13_T2|V2_24_14_T1|V2_24_14_T2|V2_24_15_T1|V2_24_15_T2|V2_24_21_T1|V2_24_21_T2|V2_24_22_T1|V2_24_22_T2|V2_24_23_T1|V2_24_23_T2|V2_24_24_T1|V2_24_24_T2|V2_24_25_T1|V2_24_25_T2|V2_24_31_T1|V2_24_31_T2|V2_24_32_T1|V2_24_32_T2|V2_24_33_T1|V2_24_33_T2|V2_24_34_T1|V2_24_34_T2|V2_24_35_T1|V2_24_35_T2|V2_24_41_T1|V2_24_41_T2|V2_24_42_T1|V2_24_42_T2|V2_24_43_T1|V2_24_43_T2|V2_24_44_T1|V2_24_44_T2|V2_24_45_T1|V2_24_45_T2|V2_26_11_T1|V2_26_11_T2|V2_26_12_T1|V2_26_12_T2|V2_26_13_T1|V2_26_13_T2|V2_26_14_T1|V2_26_14_T2|V2_26_15_T1|V2_26_15_T2|V2_26_21_T1|V2_26_21_T2|V2_26_22_T1|V2_26_22_T2|V2_26_23_T1|V2_26_23_T2|V2_26_24_T1|V2_26_24_T2|V2_26_25_T1|V2_26_25_T2|V2_26_31_T1|V2_26_31_T2|V2_26_32_T1|V2_26_32_T2|V2_26_33_T1|V2_26_33_T2|V2_26_34_T1|V2_26_34_T2|V2_26_35_T1|V2_26_35_T2|V2_26_41_T1|V2_26_41_T2|V2_26_42_T1|V2_26_42_T2|V2_26_43_T1|V2_26_43_T2|V2_26_44_T1|V2_26_44_T2|V2_26_45_T1|V2_26_45_T2|V2_27_11_T1|V2_27_11_T2|V2_27_12_T1|V2_27_12_T2|V2_27_13_T1|V2_27_13_T2|V2_27_14_T1|V2_27_14_T2|V2_27_15_T1|V2_27_15_T2|V2_27_21_T1|V2_27_21_T2|V2_27_22_T1|V2_27_22_T2|V2_27_23_T1|V2_27_23_T2|V2_27_24_T1|V2_27_24_T2|V2_27_25_T1|V2_27_25_T2|V2_27_31_T1|V2_27_31_T2|V2_27_32_T1|V2_27_32_T2|V2_27_33_T1|V2_27_33_T2|V2_27_34_T1|V2_27_34_T2|V2_27_35_T1|V2_27_35_T2|V2_27_41_T1|V2_27_41_T2|V2_27_42_T1|V2_27_42_T2|V2_27_43_T1|V2_27_43_T2|V2_27_44_T1|V2_27_44_T2|V2_27_45_T1|V2_27_45_T2|V3_10_11_T1|V3_10_11_T2|V3_10_12_T1|V3_10_12_T2|V3_10_13_T1|V3_10_13_T2|V3_10_14_T1|V3_10_14_T2|V3_10_15_T1|V3_10_15_T2|V3_10_21_T1|V3_10_21_T2|V3_10_22_T1|V3_10_22_T2|V3_10_23_T1|V3_10_23_T2|V3_10_24_T1|V3_10_24_T2|V3_10_25_T1|V3_10_25_T2|V3_10_31_T2|V3_10_32_T1|V3_10_32_T2|V3_10_33_T1|V3_10_33_T2|V3_10_34_T1|V3_10_34_T2|V3_10_35_T1|V3_10_35_T2|V3_10_41_T2|V3_10_42_T1|V3_10_42_T2|V3_10_43_T1|V3_10_43_T2|V3_10_44_T1|V3_10_44_T2|V3_10_45_T1|V3_10_45_T2|V3_21_11_T1|V3_21_11_T2|V3_21_12_T1|V3_21_12_T2|V3_21_13_T1|V3_21_13_T2|V3_21_14_T1|V3_21_14_T2|V3_21_15_T1|V3_21_15_T2|V3_21_21_T1|V3_21_21_T2|V3_21_22_T1|V3_21_22_T2|V3_21_23_T1|V3_21_23_T2|V3_21_24_T1|V3_21_24_T2|V3_21_25_T1|V3_21_25_T2|V3_21_31_T1|V3_21_31_T2|V3_21_32_T1|V3_21_32_T2|V3_21_33_T1|V3_21_33_T2|V3_21_34_T1|V3_21_34_T2|V3_21_35_T1|V3_21_35_T2|V3_21_41_T1|V3_21_41_T2|V3_21_42_T1|V3_21_42_T2|V3_21_43_T1|V3_21_43_T2|V3_21_44_T1|V3_21_44_T2|V3_21_45_T1|V3_21_45_T2|V3_22_11_T1|V3_22_11_T2|V3_22_12_T1|V3_22_12_T2|V3_22_13_T1|V3_22_13_T2|V3_22_14_T1|V3_22_14_T2|V3_22_15_T1|V3_22_15_T2|V3_22_21_T1|V3_22_21_T2|V3_22_22_T1|V3_22_22_T2|V3_22_23_T1|V3_22_23_T2|V3_22_24_T1|V3_22_24_T2|V3_22_25_T1|V3_22_25_T2|V3_22_31_T1|V3_22_31_T2|V3_22_32_T1|V3_22_32_T2|V3_22_33_T1|V3_22_33_T2|V3_22_34_T1|V3_22_34_T2|V3_22_35_T1|V3_22_35_T2|V3_22_41_T1|V3_22_41_T2|V3_22_42_T1|V3_22_42_T2|V3_22_43_T1|V3_22_43_T2|V3_22_44_T1|V3_22_44_T2|V3_22_45_T1|V3_22_45_T2|V3_3_11_T1|V3_3_11_T2|V3_3_12_T1|V3_3_12_T2|V3_3_13_T1|V3_3_13_T2|V3_3_14_T1|V3_3_14_T2|V3_3_15_T1|V3_3_15_T2|V3_3_21_T1|V3_3_21_T2|V3_3_22_T1|V3_3_22_T2|V3_3_23_T1|V3_3_23_T2|V3_3_24_T1|V3_3_24_T2|V3_3_25_T1|V3_3_25_T2|V3_3_31_T1|V3_3_31_T2|V3_3_32_T1|V3_3_32_T2|V3_3_33_T1|V3_3_33_T2|V3_3_34_T1|V3_3_34_T2|V3_3_35_T1|V3_3_35_T2|V3_3_41_T1|V3_3_41_T2|V3_3_42_T1|V3_3_42_T2|V3_3_43_T1|V3_3_43_T2|V3_3_44_T1|V3_3_44_T2|V3_3_45_T1|V3_3_45_T2|V3_5_11_T1|V3_5_11_T2|V3_5_12_T1|V3_5_12_T2|V3_5_13_T1|V3_5_13_T2|V3_5_14_T1|V3_5_14_T2|V3_5_15_T1|V3_5_15_T2|V3_5_21_T1|V3_5_21_T2|V3_5_22_T1|V3_5_22_T2|V3_5_23_T1|V3_5_23_T2|V3_5_24_T1|V3_5_24_T2|V3_5_25_T1|V3_5_25_T2|V3_5_31_T2|V3_5_32_T1|V3_5_32_T2|V3_5_33_T1|V3_5_33_T2|V3_5_34_T1|V3_5_34_T2|V3_5_35_T1|V3_5_35_T2|V3_5_41_T1|V3_5_41_T2|V3_5_42_T1|V3_5_42_T2|V3_5_43_T1|V3_5_43_T2|V3_5_44_T1|V3_5_44_T2|V3_5_45_T1|V3_5_45_T2	1	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Position2_num	Position2_num	FALSE	637	0	637	1	20	51|52|53|54|55|61|62|63|64|65|71|72|73|74|75|81|82|83|84|85	0.0313971742543171	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
HostID_Timepoint	HostID_Timepoint	FALSE	637	0	637	1	32	ECCV_1_10_T1|ECCV_1_10_T2|ECCV_1_14_T1|ECCV_1_14_T2|ECCV_1_21_T1|ECCV_1_21_T2|ECCV_1_23_T1|ECCV_1_23_T2|ECCV_1_24_T1|ECCV_1_24_T2|ECCV_1_5_T1|ECCV_1_5_T2|ECCV_2_15_T1|ECCV_2_15_T2|ECCV_2_16_T1|ECCV_2_16_T2|ECCV_2_24_T1|ECCV_2_24_T2|ECCV_2_26_T1|ECCV_2_26_T2|ECCV_2_27_T1|ECCV_2_27_T2|ECCV_3_10_T1|ECCV_3_10_T2|ECCV_3_21_T1|ECCV_3_21_T2|ECCV_3_22_T1|ECCV_3_22_T2|ECCV_3_3_T1|ECCV_3_3_T2|ECCV_3_5_T1|ECCV_3_5_T2	0.0502354788069074	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Timepoint_Position	Timepoint_Position	FALSE	637	0	637	1	40	T1_T11|T1_T12|T1_T13|T1_T14|T1_T15|T1_T21|T1_T22|T1_T23|T1_T24|T1_T25|T1_T31|T1_T32|T1_T33|T1_T34|T1_T35|T1_T41|T1_T42|T1_T43|T1_T44|T1_T45|T2_T11|T2_T12|T2_T13|T2_T14|T2_T15|T2_T21|T2_T22|T2_T23|T2_T24|T2_T25|T2_T31|T2_T32|T2_T33|T2_T34|T2_T35|T2_T41|T2_T42|T2_T43|T2_T44|T2_T45	0.0627943485086342	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Timepoint_PositionTooth	Timepoint_PositionTooth	FALSE	637	0	637	1	10	T1_T1|T1_T2|T1_T3|T1_T4|T1_T5|T2_T1|T2_T2|T2_T3|T2_T4|T2_T5	0.0156985871271586	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Day	Day	FALSE	637	0	637	1	32	1143|1173|1187|1195|1200|1233|1263|1277|1285|1290|1300|1354|1390|1444|1469|1559|1670|1703|1760|1764|1793|1854|1943|2033|2069|2110|2152|2159|2196|2200|2242|2286	0.0502354788069074	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
Year	Year	FALSE	637	0	637	1	23	3.1|3.2|3.3|3.4|3.5|3.6|3.7|3.8|4|4.3|4.6|4.7|4.8|4.9|5.1|5.3|5.6|5.7|5.8|5.9|6|6.1|6.3	0.0361067503924647	FALSE	0	FALSE	78	TRUE	559	TRUE	FALSE
Month	Month	FALSE	637	0	637	1	23	38|39|41|42|43|45|46|47|48|51|55|56|58|59|61|64|67|68|69|71|72|74|75	0.0361067503924647	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
Age	Age	FALSE	637	0	637	1	23	38|39|41|42|43|45|46|47|48|51|55|56|58|59|61|64|67|68|69|71|72|74|75	0.0361067503924647	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
StatusToothGroup	StatusToothGroup	FALSE	637	0	637	1	4	C2C_C2S|C2C_H2C|C2C_H2H|H2H_H2H	0.00627943485086342	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
