	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T54	mean_md_H_T55	mean_md_H_T64	mean_md_H_T65	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
A1.345.T1	1.21582836171994	1.1933597884005	1.53600731542254	1.59112785866192	1.47816012205764	1.58288353260819	1.75723539845071	1.5763217062995	1.72019272524747	1.62357213658895	1.78603335011483
A1.35.T2	0.928533398240396	0.800672396072173	2.37346103580497	2.44767029416773	2.49463927474986	2.56738481983696	1.70039293896893	1.71839436362416	1.74471681153476	1.78164388837705	1.48955840070912
A1.35.T5	0.517264004918453	0.437792286620875	1.44734130911879	1.27050246035942	1.55820147416332	1.43582835908309	1.10875115107136	1.12285666416648	1.03658972134241	1.1423718322211	1.41038854668082
A100.14.T3	1.88049747035581	1.67299046824237	1.23780588787655	1.08956126147518	1.1169921497738	1.11353122384802	2.0583749636605	1.81816785452306	1.92938781558789	1.90746296564124	2.37806619451
A100.14.T4	1.1705161672423	0.98390944570965	1.64440179873524	1.40478989123071	1.70808668401547	1.55729993595624	1.85834766400065	1.81350322739763	1.70624425736483	1.82987680026796	2.30884774041248
A100.145.T2	0.670411134391769	0.674906491549899	1.43851247276387	1.20869011983932	1.53813303710182	1.36647872564058	1.47211087645149	1.43787227217661	1.33129675870726	1.46619084384857	1.88193079263228
A100.15.T3	1.07849907933845	1.0110493900056	1.2644758318008	1.04705521115557	1.3196197062992	1.1884744116507	1.36882301730917	1.28523226219195	1.24231598613078	1.35092180409432	1.73218824550998
A100.15.T4	0.827269258911726	0.765271750952628	1.59774193831358	1.40412904358934	1.76595641607369	1.57360096124476	1.29801975507406	1.34167793661985	1.1678413345657	1.33589351100618	1.6803697654845
A100.24.T3	1.33006735238615	1.04572652258144	1.18861704108145	0.976752516611782	1.15675998219581	1.0946700355511	1.55262170636909	1.38843561519467	1.43302980459352	1.49185640836628	1.89755801479108
A100.24.T4	1.1228720857389	0.908177343407097	1.6063326324588	1.36792692636212	1.67495912630569	1.52163679480433	1.79336438024663	1.75111734130283	1.64202302011442	1.76858666433283	2.23967783015119
A100.245.T2	0.898768905185165	0.800187962729335	1.37850050522649	1.13777979838903	1.42687665440357	1.28111419161114	1.62740060631158	1.5420864635955	1.47123368813543	1.59499778706126	2.04043502012485
A100.25.T3	0.997887372555544	0.929455823244293	1.65899300968692	1.44688522310796	1.80920849733263	1.61401121717313	1.47974593505535	1.51123223531797	1.33977401120848	1.49716441455977	1.89646227200559
A100.25.T4	0.740690222353568	0.682773017772113	1.86493243646611	1.68232458055664	2.05679594462666	1.86300243810099	1.43095678791061	1.53287292480779	1.32197009454529	1.50550855937637	1.84881134800838
A100.34.T3	1.1053179981448	1.01567635589133	2.14405472783766	1.99597114997754	2.34312132468199	2.18016168422015	1.27046195704551	1.52686436897156	1.27494160661467	1.49693015054374	1.65696699304352
A100.34.T4	0.933012996357165	0.824698969625251	2.3841677050708	2.21272472584207	2.5913722588934	2.40945735596065	1.60844067091826	1.85306030689907	1.59397904428794	1.81757071490277	2.06260963871047
A100.345.T2	0.829913384170309	0.730787467311319	2.07445328037876	1.89801178246185	2.27346795653619	2.08784352652559	1.42263324747176	1.59715578403947	1.36601061743224	1.56645400009957	1.85166635370682
A100.35.T3	1.11532905451875	1.10783920935058	2.21068935401492	2.03791194439693	2.41420206471049	2.23082782132281	1.47376145756096	1.68883393676496	1.44364181427685	1.654402403799	1.91288219233188
A100.35.T4	0.873863889353051	0.86039527068492	2.36606018784543	2.18216025730825	2.56906056324265	2.38018049332736	1.7078760686556	1.90883459399844	1.66292531416223	1.87482391904312	2.16893016745101
A100.44.T3	0.875659590214617	0.701402934672938	1.57928898400608	1.40031898258559	1.74852860919185	1.56667782809359	1.20018137705191	1.25650764420323	1.08908806538526	1.25762672186558	1.56006159241563
A100.44.T4	0.886671798776124	0.684013058757617	2.35795686833008	2.18235403138661	2.56383205475001	2.37925673339891	1.62203418872454	1.84996773978	1.59444865489788	1.81489540418605	2.07753240858531
A100.445.T2	0.596973871173344	0.602755155600854	1.83494921379736	1.65470430739072	2.02496667858014	1.83485253178331	1.37128610588574	1.47349854379872	1.26399747199867	1.45008622262826	1.7790254372135
A100.45.T3	1.03694843469235	0.804041875022069	2.12069591637943	1.95057046349559	2.32140744333849	2.14024580281501	1.37503794151528	1.58567441809093	1.34411746403261	1.55031999136129	1.79696117021134
A100.45.T4	0.784914030823033	0.705344395587643	2.17933832642029	1.98909030722455	2.37708941219807	2.18486020401404	1.63179206357305	1.79051645012058	1.55863228110683	1.75290489491466	2.08484568865102
