	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T64	mean_md_H_T65	mean_md_H_T54	mean_md_H_T55	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
142242.14341.SAMPLE1	1.24588117671088	1.12249496485297	1.98710342477919	2.10741672168765	1.83167413514818	2.05018590321127	1.74595593840342	1.61098926852344	1.65166562104234	1.72220330804862	1.58151891943559
142242.14341.SAMPLE10	1.40315591025838	1.20495980305145	1.334193865337	1.26346620736564	1.36072192015097	1.13380860479465	1.52538204899354	1.47390102396736	1.47434071867748	1.43717787188879	1.67076298865608
142242.14341.SAMPLE100	1.79291541298322	1.67163546451184	1.27385451790203	1.38716272672826	1.3290713664354	1.47763573265823	2.02962146058604	1.76057101951897	1.88506899073048	1.83541151515291	2.0857662387809
142242.14341.SAMPLE101	1.5599356527928	1.49952184631398	1.17265369340377	1.2081355669474	1.22185534875465	1.14432201092136	1.70808939701209	1.51557848789613	1.61318298164463	1.55275333160446	1.81974535230787
142242.14341.SAMPLE102	1.34962673693704	1.36112432249873	1.11246821491332	1.18982466255762	1.09250573950145	1.13416544388862	1.50349987525165	1.27238733899059	1.38096215617934	1.35501093425215	1.57884790797691
142242.14341.SAMPLE103	1.80817913275195	1.8820637080843	1.27930892491144	1.38687462256815	1.34125844780524	1.47763650678712	2.04802434965305	1.78039838305055	1.90601971910111	1.85260327831464	2.10723482521421
142242.14341.SAMPLE104	1.88786943558129	1.56128106469003	2.38209144921813	2.36544221401306	2.23740018731821	2.22587838659445	1.44215944598854	1.59076753207067	1.56126290151461	1.67982282693752	1.39075089676171
142242.14341.SAMPLE105	1.16889278827207	0.919525633807988	1.63976725853	1.60069600173561	1.520892641326	1.45352947496975	1.06694633666255	1.11043237412672	1.0634370944106	1.1081687202104	1.05986678965134
142242.14341.SAMPLE106	1.59594226558311	1.40026158185643	2.17518744825558	2.21465689609588	2.02122436878311	2.08212517321307	1.43947680851697	1.47115707118155	1.44106882564071	1.55375445283686	1.30589870127386
142242.14341.SAMPLE107	1.26847647606758	1.2639828342217	1.84858293220925	1.90874029264854	1.68299836920367	1.79874185023396	1.34761602983067	1.2900996178182	1.28472382364436	1.38031882332572	1.21557344522563
142242.14341.SAMPLE108	1.75203591727077	1.62236568598165	2.33030080095856	2.40048781801927	2.17591123511277	2.28719668145775	1.6765979993956	1.66013304365057	1.66225759547607	1.75823320182021	1.50799095678331
142242.14341.SAMPLE109	1.55034008523818	1.63622154891226	2.07379630595401	2.16882810009021	1.90936377172529	2.08128592641659	1.64144335057816	1.55400103573872	1.57315670766703	1.65759663104283	1.46809984852831
142242.14341.SAMPLE11	0.580424241301568	0.755341011983346	1.7355947035724	1.65316235444139	1.63452305863129	1.50642226156307	1.12071613974264	1.22484656883078	1.16496705492129	1.1834991641961	1.15945395349254
142242.14341.SAMPLE110	1.40753822619003	1.32033481267032	1.64853569092998	1.75249857584719	1.4813821988086	1.70095217642219	1.49717302963838	1.33470629017323	1.37898626909821	1.44867034113987	1.37406926280703
142242.14341.SAMPLE111	2.00126671838297	1.92420310537278	2.65981140360725	2.66095927820965	2.50362475917234	2.52338461926107	1.72499813939031	1.84555047347404	1.8257741790012	1.94240029420883	1.63911764477284
142242.14341.SAMPLE112	1.20871718022619	1.18110494745605	1.3467947088496	1.39612420016292	1.21463149945148	1.31319768548601	1.25278726063764	1.0840171410728	1.12633014414532	1.18327516132579	1.22412214174117
142242.14341.SAMPLE113	1.02536188198061	0.966313737619888	1.21929805889251	1.24630010942124	1.13787085603562	1.12356123250607	1.22914751765537	1.07630801828183	1.1055689052432	1.12888559293117	1.26556907643876
142242.14341.SAMPLE114	0.851443939834402	0.968077711241773	1.75154160663214	1.90376022473243	1.63755326736928	1.90174930493806	1.81906253416204	1.63687500260696	1.68536495931039	1.72878256927231	1.70495993088562
142242.14341.SAMPLE115	1.18649363977267	1.33788464398893	2.10445578652258	2.0482319607955	1.97233035468731	1.9097470576523	1.22321233028602	1.40709300303922	1.34799018652606	1.44173843770646	1.24610003570962
142242.14341.SAMPLE116	1.06001397566527	1.1044452425043	2.5093919684327	2.59514170795054	2.35470125437032	2.49675753436881	1.91238825999097	1.87045599670055	1.89681540165196	1.97789777845438	1.72471985657421
142242.14341.SAMPLE117	1.25148183386444	1.16863889243395	1.40545379866071	1.55610253757284	1.34112536338281	1.58381796598169	1.76102561578795	1.53067893125337	1.60835391539408	1.62216706409946	1.73917957808126
142242.14341.SAMPLE118	0.641595875611407	0.383321315849126	1.12382001249452	1.21408072251934	1.13048531094949	1.19597932244337	1.653443322411	1.40170509903371	1.53032204453176	1.48778578980906	1.73261838312594
142242.14341.SAMPLE119	1.13494416655551	0.824472446768924	1.15493965819218	1.20438259025499	1.09380361516895	1.10473606117473	1.32964914173962	1.13889975792386	1.2033928589923	1.207472589882	1.38190509248561
142242.14341.SAMPLE12	0.671299260212867	0.542404970059784	1.42953973969554	1.40731782691355	1.3260737475505	1.26433940802771	1.08708404788957	1.04738336818625	1.01570563835881	1.04539334051511	1.08937156845267
142242.14341.SAMPLE120	0.742928966421963	0.592808037574624	1.27180723262988	1.41253180692469	1.24408508891735	1.44907105175359	1.74330971918652	1.4990546195765	1.59791294493208	1.59469060339536	1.76831491786842
142242.14341.SAMPLE121	1.29887149413288	1.10599312373094	1.54084713310576	1.48712182434117	1.4461146973536	1.32855120423471	1.08278773017766	1.108767318693	1.05641179582466	1.07731063691105	1.10102451028479
142242.14341.SAMPLE122	0.795782876782807	0.867272153552026	1.2183780647804	1.32067015624227	1.27380506014064	1.38420047389455	1.94101908325342	1.67523522039535	1.80807177337864	1.75154643720088	2.0088636739433
142242.14341.SAMPLE123	1.73685156056707	1.71303437816476	1.27883221075206	1.26306188877323	1.34352207044431	1.18873192085784	1.7559882836064	1.61948407388675	1.68327223265014	1.61644301385072	1.88255373606127
142242.14341.SAMPLE124	0.766983952364247	0.90030636634907	1.22017048865204	1.33047081538058	1.26759690684599	1.39912060402664	1.93151229343543	1.66305437966579	1.79373495427293	1.74303761449183	1.99357734541211
142242.14341.SAMPLE125	1.66187710396477	1.73526024311297	1.20891517439794	1.29451629960906	1.26737423493052	1.34152373540793	1.91913955539101	1.6600518794241	1.79482933933628	1.73447224717129	1.99746705585753
142242.14341.SAMPLE126	0.666873291491801	0.675601432787786	1.10924042558176	1.18137104802371	1.0960461065637	1.12233060948986	1.51446628108503	1.28919428455868	1.39558291117903	1.36557174974024	1.59795682600581
142242.14341.SAMPLE127	1.046439369164	0.917354461143488	1.54784837192903	1.55969561006155	1.40321715660872	1.43839815873008	1.12508876867777	1.06767794676093	1.05814402246976	1.13276477728584	1.07315494290505
142242.14341.SAMPLE128	0.593506161736622	0.657837334172935	1.13027827495811	1.23462464144122	1.11645726316396	1.21851533167381	1.59408297113598	1.34025066330838	1.46435584380048	1.43539626285347	1.65603074399958
142242.14341.SAMPLE129	1.02455561497037	0.943919537650888	1.53555568711926	1.56295826212035	1.38347153779035	1.45446923505839	1.17175389571661	1.07854288003467	1.08459277210854	1.16545866976157	1.10743489959175
142242.14341.SAMPLE13	0.840085431650201	0.775403114432048	2.0215714424897	1.85607184706575	1.94988150862836	1.72937420820533	1.48741294533683	1.63765209035881	1.54693037274742	1.54566470950331	1.59606461037358
142242.14341.SAMPLE130	1.13366772724582	1.08575430068341	1.54525505026824	1.59582331703274	1.38321076083085	1.50656257090405	1.25412634094931	1.12844641999978	1.14398695649331	1.23210650330945	1.17215473019087
142242.14341.SAMPLE131	1.50158004455925	1.42119179877863	2.13233484290521	2.2233130691282	1.96967574077278	2.13003218240366	1.65378912739596	1.58010113221429	1.59374700125283	1.68144044729708	1.47791705326799
142242.14341.SAMPLE132	1.20637485897792	1.21300851608904	1.46258824809965	1.44753808847575	1.34633705155697	1.30875825685568	1.08469006997628	1.04434212198357	1.01825086532457	1.05539708285704	1.07085006336006
142242.14341.SAMPLE133	2.09987930242487	2.1479758322282	2.73503466510176	2.83497932806529	2.58436865845681	2.74939613707591	2.19306144967731	2.13856893741679	2.17741606284587	2.24339433286531	1.99848303605211
142242.14341.SAMPLE134	0.833333402160976	0.790327189826781	1.36163068207637	1.48096035480656	1.26494387713107	1.47509914983339	1.56029622741723	1.34308566249652	1.42286667765635	1.44579772097017	1.52938517816158
142242.14341.SAMPLE135	1.11647233406379	1.06776112702102	1.36243241033137	1.45385286192658	1.23712668087585	1.41244439927288	1.40990458763861	1.20956629541397	1.27594912392406	1.32007131063044	1.3659864728306
142242.14341.SAMPLE136	0.967238131967319	0.759471630583111	1.48984289771268	1.58655963404421	1.33630732332035	1.54130404938993	1.43303532149748	1.25327560402076	1.30498894471652	1.36511451033705	1.35183833381644
142242.14341.SAMPLE137	0.613976883124851	0.512510323560211	1.79268567759522	1.88214285227176	1.61592914180352	1.80466585136111	1.47003285147679	1.35068309135864	1.37723761205343	1.46067986599933	1.33011565907007
142242.14341.SAMPLE138	1.33283857060721	1.14500651710784	1.47123319655958	1.63723174145921	1.4342582597789	1.70001231766449	1.9837152172201	1.74474743775809	1.81070946185971	1.82333130131694	1.97178894731001
142242.14341.SAMPLE139	0.579911505631046	0.505817963945822	2.09334497258288	2.22090756491312	1.94569931919048	2.16623939958758	1.8620346226418	1.72697839536718	1.7721560040668	1.83870067490364	1.69288585419009
142242.14341.SAMPLE14	0.992312658136998	0.924436053373015	1.99099951413673	1.90101710751919	1.87872187036166	1.76479004612186	1.20578244065824	1.38974583521079	1.32220813495416	1.36813514167191	1.27659452975889
142242.14341.SAMPLE140	1.52877593174455	1.37848891539661	1.94633605575329	2.12370642487231	1.86229683435681	2.15240552586021	2.16372739573717	1.9821473656463	2.02352917051389	2.05387821922945	2.08127391064651
142242.14341.SAMPLE141	0.649403707829456	0.863508093546894	1.70905014440647	1.86206413139627	1.59767308359944	1.86134491865215	1.7942813318416	1.60843407741615	1.6584361479265	1.699620640062	1.6863095723481
142242.14341.SAMPLE142	1.01276950531397	1.00620246113605	1.36011767515052	1.48577292150619	1.27355248807802	1.48999587135059	1.60532825524772	1.38319864521611	1.46520410087817	1.48308492606806	1.58086797966914
