Taxon	feature	n	n_NA	n_neg	n_pos	imp_sum	imp_mean	imp_rank_sum	imp_rank_mean	imp_rank_min
"aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]"	K18816	9	0	0	0	0	0	13911.5	1545.72222222222	1413.5
"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"	K18118	9	0	4	4	8.17610438343618e-05	9.0845604260402e-06	12797	1421.88888888889	364
"ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein"	K11050	9	0	3	4	9.44971307094508e-05	1.0499681189939e-05	13149	1461	36
"ABC-2.CYL.P, cylB; multidrug/hemolysin transport system permease protein"	K11051	9	0	3	3	1.40537220200899e-05	1.56152466889887e-06	13396	1488.44444444444	127
"ABC-2.OM, wza; polysaccharide biosynthesis/export protein"	K01991	9	0	2	6	0.000131396829224679	1.4599647691631e-05	10021.5	1113.5	440.5
"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	K06147	9	0	2	4	7.08470402203976e-05	7.87189335782196e-06	11903	1322.55555555556	406
"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial"	K06148	9	0	7	1	-0.000131838132226838	-1.46486813585375e-05	17928.5	1992.05555555556	394
"ABCF3; ATP-binding cassette, subfamily F, member 3"	K06158	9	0	0	0	0	0	13911.5	1545.72222222222	1413.5
"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]"	K06113	9	0	5	4	-0.000115034926651594	-1.27816585168437e-05	15946	1771.77777777778	379
"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"	K00249	9	0	1	8	0.000259042526693452	2.87825029659392e-05	7209	801	131
"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	K00248	9	0	4	5	6.5274982938961e-05	7.25277588210678e-06	11553.5	1283.72222222222	172
"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"	K02160	9	0	2	2	6.29941333551881e-05	6.99934815057646e-06	13024	1447.11111111111	381
"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	K01961	9	0	0	8	0.000652982448279257	7.25536053643619e-05	4720.5	524.5	72
"aceB, glcB; malate synthase [EC:2.3.3.9]"	K01638	9	0	2	5	7.18876727631911e-05	7.98751919591012e-06	11699	1299.88888888889	490
"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"	K01681	9	0	1	7	0.000310999006871137	3.45554452079041e-05	8019.5	891.055555555556	134
"acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]"	K01118	9	5	0	0	0	0	6315.5	1578.875	1530
"ACR3, arsB; arsenite transporter"	K03325	9	0	3	6	0.000100529497742321	1.11699441935913e-05	10995.5	1221.72222222222	219
"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"	K03585	9	6	0	0	0	0	4632.5	1544.16666666667	1421.5
"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"	K18138	9	0	4	4	-8.12590187590188e-05	-9.0287798621132e-06	14522	1613.55555555556	715
"acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor"	K18136	9	0	4	5	4.26932495078102e-05	4.74369438975669e-06	12381	1375.66666666667	48
"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"	K01897	9	0	0	4	0.000546697682241601	6.07441869157335e-05	8865	985	31
"ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]"	K01895	9	0	1	7	0.000379281675720505	4.21424084133895e-05	7471	830.111111111111	168
"ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"	K13529	9	0	5	4	-0.000105852376397946	-1.17613751553273e-05	14563	1618.11111111111	486
"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"	K10778	9	0	0	0	0	0	13911.5	1545.72222222222	1413.5
"add, ADA; adenosine deaminase [EC:3.5.4.4]"	K01488	9	0	3	4	9.39640379550737e-05	1.04404486616749e-05	12766.5	1418.5	244
"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	K13953	9	0	5	3	-0.000237887937174921	-2.64319930194356e-05	16329	1814.33333333333	130
"adk, AK; adenylate kinase [EC:2.7.4.3]"	K00939	9	0	3	2	-9.32027440194405e-06	-1.03558604466045e-06	14692.5	1632.5	925
"afuA, fbpA; iron(III) transport system substrate-binding protein"	K02012	9	0	2	4	7.23049972986861e-05	8.0338885887429e-06	12217.5	1357.5	231
"afuB, fbpB; iron(III) transport system permease protein"	K02011	9	0	3	3	5.70543631886306e-06	6.33937368762563e-07	13520	1502.22222222222	656
"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]"	K02010	9	0	3	4	0.00040775499768806	4.53061108542289e-05	11174.5	1241.61111111111	21
"aglE, ggtB; alpha-glucoside transport system substrate-binding protein"	K10232	9	0	2	6	0.000373562654504922	4.1506961611658e-05	8758	973.111111111111	29
"AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]"	K00803	9	0	0	0	0	0	13911.5	1545.72222222222	1413.5
"agrA, blpR, fsrA; two-component system, LytTR family, response regulator AgrA"	K07707	9	0	5	3	-2.92949463217857e-05	-3.25499403575397e-06	15244.5	1693.83333333333	264
"agrC, blpH, fsrC; two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]"	K07706	9	0	3	5	-3.70037824380079e-05	-4.11153138200088e-06	12888	1432	507
"AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]"	K17759	9	0	5	4	0.000110825028395304	1.23138920439226e-05	13654.5	1517.16666666667	207
"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	K01623	9	0	4	4	0.00031558881505023	3.506542389447e-05	12338	1370.88888888889	25
"algR; two-component system, LytTR family, response regulator AlgR"	K08083	9	0	3	5	1.91019453875241e-05	2.12243837639157e-06	12305	1367.22222222222	279
"algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"	K08082	9	0	3	6	0.000191419478955999	2.1268830995111e-05	10654.5	1183.83333333333	192
"alsD, budA, aldC; acetolactate decarboxylase [EC:4.1.1.5]"	K01575	9	0	3	4	-1.7060470737725e-05	-1.89560785974722e-06	12823	1424.77777777778	479.5
"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"	K08218	9	9	0	0	0	NA	0	NA	Inf
"amt, AMT, MEP; ammonium transporter, Amt family"	K03320	9	0	2	4	0.000149660000735325	1.66288889705917e-05	11735	1303.88888888889	137
"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"	K01176	9	0	1	0	-1.53846153846154e-05	-1.70940170940171e-06	14399.5	1599.94444444444	1421.5
"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	K15635	9	0	1	5	0.000108325812109841	1.20362013455379e-05	10504.5	1167.16666666667	346.5
"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"	K00394	9	0	2	5	9.42151467647836e-05	1.04683496405315e-05	11615	1290.55555555556	385
"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"	K00395	9	0	6	1	-0.000319139726341239	-3.5459969593471e-05	19304.5	2144.94444444444	1030
"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"	K00759	9	0	2	5	0.000337450271557382	3.74944746174869e-05	9266.5	1029.61111111111	98
"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"	K00096	9	0	3	5	8.08775530928534e-05	8.98639478809482e-06	12124	1347.11111111111	159
"arcA; two-component system, OmpR family, aerobic respiration control protein ArcA"	K07773	9	0	3	5	-9.40499059691181e-05	-1.04499895521242e-05	13235.5	1470.61111111111	224
"arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"	K07648	9	0	3	6	-0.000179461810049623	-1.99402011166248e-05	12708.5	1412.05555555556	81
"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"	K01940	9	0	5	3	7.31411877384956e-05	8.12679863761062e-06	14961.5	1662.38888888889	119
"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"	K01755	9	0	3	2	1.11830709784674e-05	1.24256344205193e-06	14117	1568.55555555556	474
"argR, ahrC; transcriptional regulator of arginine metabolism"	K03402	9	0	3	5	7.61631403549562e-05	8.46257115055069e-06	11948	1327.55555555556	311
"AROA1, aroA; chorismate mutase [EC:5.4.99.5]"	K04516	9	6	0	0	0	0	4632.5	1544.16666666667	1421.5
"AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"	K03856	9	9	0	0	0	NA	0	NA	Inf
"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"	K03786	9	0	4	0	-8.39378504378505e-05	-9.32642782642784e-06	16757.5	1861.94444444444	1413.5
"arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:3.6.3.16 3.6.3.-]"	K01551	9	0	1	5	9.24315294702638e-05	1.02701699411404e-05	10774.5	1197.16666666667	573
"ARSC1, arsC; arsenate reductase [EC:1.20.4.1]"	K00537	9	0	2	6	0.000968194623184579	0.000107577180353842	7885.5	876.166666666667	2
"arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor"	K03892	9	0	3	1	4.01528962938353e-07	4.46143292153725e-08	14639.5	1626.61111111111	314
"ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"	K12452	9	0	1	6	0.00022509139835289	2.50101553725434e-05	9398.5	1044.27777777778	155
"ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"	K00523	9	0	3	5	0.00013774512161186	1.53050135124289e-05	11338	1259.77777777778	284
"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"	K01953	9	0	5	3	8.3716286580891e-06	9.301809620099e-07	14350.5	1594.5	151
"asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"	K03718	9	3	0	0	0	0	9259.5	1543.25	1421.5
"aspC, aspS; nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]"	K09759	9	0	4	5	5.34825990209895e-06	5.94251100233217e-07	13565.5	1507.27777777778	136
"ATOX1, ATX1, copZ, golB; copper chaperone"	K07213	9	0	7	2	-0.0004144738752245	-4.60526528027222e-05	19429	2158.77777777778	380
"ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G"	K02152	9	1	1	0	-1.25e-05	-1.5625e-06	13032.5	1629.0625	1413.5
"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"	K02108	9	0	1	7	0.000229392013559196	2.54880015065773e-05	8050.5	894.5	91
"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"	K02109	9	0	2	6	0.000272178247283989	3.02420274759987e-05	8585.5	953.944444444444	157
"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"	K02110	9	1	1	1	2.19089722537999e-05	2.73862153172499e-06	12041	1505.125	344.5
"ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"	K02111	9	1	3	2	-1.53885540982316e-05	-1.92356926227895e-06	13048.5	1631.0625	454.5
"ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"	K02112	9	2	2	1	2.51190476190476e-05	3.58843537414966e-06	11015.5	1573.64285714286	352.5
"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"	K02113	9	0	4	2	-5.21465219994633e-05	-5.79405799994037e-06	15134.5	1681.61111111111	556
"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"	K02114	9	0	4	4	-3.22659719646225e-05	-3.58510799606917e-06	14506.5	1611.83333333333	562
"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"	K02115	9	0	2	1	-2.84661246612466e-05	-3.16290274013851e-06	15149	1683.22222222222	1238
"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]"	K02117	9	0	1	3	8.88436205371689e-05	9.87151339301877e-06	11933	1325.88888888889	563
"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"	K02118	9	0	4	2	-9.44394419936216e-05	-1.04932713326246e-05	15799.5	1755.5	528.5
"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"	K02119	9	0	3	2	-2.4839457473757e-05	-2.75993971930634e-06	14337.5	1593.05555555556	721.5
"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"	K02120	9	0	1	2	4.80895576044777e-05	5.3432841782753e-06	12953	1439.22222222222	449
"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"	K02121	9	0	1	2	1.37037037037037e-05	1.52263374485597e-06	13529	1503.22222222222	597.5
"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"	K02122	9	0	5	1	-0.00018506734006734	-2.056303778526e-05	17879.5	1986.61111111111	1096
"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"	K02107	9	0	5	2	0.000366865561238236	4.07628401375817e-05	15449	1716.55555555556	1
