Taxon	feature	n	n_NA	n_neg	n_pos	imp_sum	imp_mean	imp_rank_sum	imp_rank_mean	imp_rank_min
"aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]"	K18816	9	0	0	1	1.66666666666667e-05	1.85185185185186e-06	13713	1523.66666666667	949.5
"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"	K18118	9	0	2	7	0.0001189986361419	1.32220706824333e-05	10701.5	1189.05555555556	186
"ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein"	K11050	9	0	1	8	0.000623461945120594	6.92735494578438e-05	6993	777	55
"ABC-2.CYL.P, cylB; multidrug/hemolysin transport system permease protein"	K11051	9	0	3	6	0.000272349199251057	3.02610221390063e-05	10363.5	1151.5	166
"ABC-2.OM, wza; polysaccharide biosynthesis/export protein"	K01991	9	0	2	4	0.000111476683267373	1.23862981408192e-05	12476	1386.22222222222	290
"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	K06147	9	0	4	5	0.000329370865019652	3.65967627799613e-05	13224.5	1469.38888888889	68
"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial"	K06148	9	0	5	3	-0.000130041787183547	-1.44490874648386e-05	17208.5	1912.05555555556	811
"ABCF3; ATP-binding cassette, subfamily F, member 3"	K06158	9	0	0	0	0	0	14503.5	1611.5	1435.5
"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]"	K06113	9	0	5	4	-0.000153171027717213	-1.70190030796904e-05	16201	1800.11111111111	319
"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"	K00249	9	0	2	6	0.000162799986971479	1.80888874412755e-05	10665	1185	408
"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	K00248	9	0	6	3	5.65502921356412e-05	6.28336579284902e-06	17324.5	1924.94444444444	29
"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"	K02160	9	0	2	5	0.000128630251746711	1.4292250194079e-05	11351.5	1261.27777777778	532
"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	K01961	9	0	5	2	-0.000178260197863686	-1.98066886515206e-05	17994.5	1999.38888888889	1029.5
"aceB, glcB; malate synthase [EC:2.3.3.9]"	K01638	9	0	2	6	0.000271009314683189	3.01121460759099e-05	9878	1097.55555555556	104
"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"	K01681	9	0	3	6	0.000203199128196503	2.25776809107225e-05	10801	1200.11111111111	168
"acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]"	K01118	9	1	0	0	0	0	12850.5	1606.3125	1435.5
"ACR3, arsB; arsenite transporter"	K03325	9	0	4	5	0.000121429336498167	1.34921484997964e-05	12684	1409.33333333333	179
"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"	K03585	9	6	0	0	0	0	4835.5	1611.83333333333	1435.5
"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"	K18138	9	0	2	7	0.000679469931054769	7.54966590060854e-05	6620.5	735.611111111111	95
"acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor"	K18136	9	0	2	7	0.000366049638025437	4.06721820028263e-05	9428	1047.55555555556	100
"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"	K01897	9	0	4	4	4.2610327002466e-05	4.73448077805178e-06	14248.5	1583.16666666667	189
"ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]"	K01895	9	0	2	6	0.000252265875391775	2.80295417101973e-05	9918	1102	114
"ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"	K13529	9	0	6	3	-0.000215576208132236	-2.39529120146929e-05	17624	1958.22222222222	667
"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"	K10778	9	0	0	0	0	0	14503.5	1611.5	1435.5
"add, ADA; adenosine deaminase [EC:3.5.4.4]"	K01488	9	0	3	3	0.000134319333263116	1.49243703625684e-05	14513	1612.55555555556	72
"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	K13953	9	0	5	4	-0.000113174601898568	-1.25749557665075e-05	15798	1755.33333333333	506
