	glogfc
K00001	0
K00003	-0.181818181818182
K00004	-0.00655907143234881
K00005	-0.0669968721969278
K00008	-0.0188090615106834
K00009	-0.0176246018310306
K00010	0.00204238668622704
K00012	-0.0921220678451288
K00013	-0.193512281755014
K00014	-0.0447139178481522
K00015	0.00756128999515162
K00016	0
K00018	0
K00020	-0.0369593494333887
K00024	0
K00027	0
K00029	0.0908356357995671
K00030	-1.37725514294838
K00031	0.149363807623629
K00033	0.181457372527005
K00036	0
K00046	-0.00485745499919881
K00048	0
K00050	-0.065820269374661
K00051	-0.0598816852153583
K00052	-0.181818181818182
K00053	0
K00054	-0.0441297115609311
K00057	-0.4245007144172
K00058	-1.84360468905309
K00059	-0.12824252936892
K00060	-0.0424363846859463
K00065	-0.0181845453863332
K00067	0
K00068	0.211084372262487
K00074	-0.0299341620008006
K00075	-0.22527702698224
K00076	-0.205110902691973
K00077	-0.0820554949635479
K00088	-0.0134142898558054
K00091	0.814365990215843
K00096	-0.0187755436871429
K00097	-0.0232694251507065
K00099	0.374089141782519
K00100	-0.14408750006556
K00101	0.144087500065559
K00104	-0.0659611386436923
K00105	-0.0447139178481522
K00111	0
K00112	0.14408750006556
K00113	0
K00116	0
K00121	0.600875600061332
K00123	0.229537002678477
K00124	0.171025240252508
K00127	0.474424591224049
K00130	0.143803575662659
K00131	-0.178123455954787
K00133	-0.232449829504687
K00134	0.285152648211794
K00135	0.251762461078053
K00138	-0.0194803032573906
K00140	0.00131267482831018
K00145	-0.102105764596825
K00147	0
K00153	0.125514045932107
K00156	-0.215069708821651
K00158	0.0329609163077008
K00161	0
K00162	-0.108763382982137
K00163	0.144087500065559
K00164	0.14408750006556
K00174	-1.01454587265036
K00175	-0.241808358410344
K00176	-0.0667355626671803
K00177	-0.0860570810428388
K00179	-0.0651495097105038
K00180	-0.0653312147874274
K00184	-0.24675766166583
K00185	-0.174888054674272
K00188	-0.0335667099696111
K00198	-0.553322730177857
K00208	-0.183596150721465
K00209	-0.58489452977027
K00215	-0.020217492848768
K00216	0.268340439217525
K00226	-0.14408750006556
K00228	-0.0669057552683783
K00230	-0.0195833665409631
K00231	0.00217950164208247
K00239	0
K00240	0.0889066994245455
K00241	0.140673400781998
K00242	0.856374910436972
K00243	0.0329609163077008
K00244	-0.191599256415694
K00245	0.000244752813566991
K00246	0.164566651222263
K00247	0.0796444766838788
K00248	-0.144499914358188
K00249	-0.0663257705457696
K00252	0.0958588894565798
K00254	-0.00494845481749031
