	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K00001	0	-0.14408750006556	0	0	0.14408750006556	0	0	0	0
K00003	-0.0616429004647853	0.0541463404473332	-0.0616429004647853	0.0667868575890002	-0.0760455697924654	0.00639902980830892	-0.157905963106019	-0.0138184630404591	0.0909090909090909
K00004	0.197114491651264	-0.284680092504089	0.695756380902541	0.842453242746159	0.195272747570618	0.560274266548034	-0.476221660245115	0.419999702325979	0.137376724312693
K00005	-0.14408750006556	0.204464436101186	0.106059079037222	0.0909090909090909	-0.195636644858641	-0.077090627868632	-0.0531784091564687	-0.120175281353397	-0.0531784091564687
K00008	0.0519156595513182	0.0293746946337534	0.157610981866768	0.0729060885005233	-0.0969153748953411	-0.0236392184815056	-0.132702045486071	-0.0501815052022462	0.0807653386865054
K00009	-0.145590647473057	0.124021546882049	0.153756060357474	0.0690642553360554	-0.086899270888356	-0.0235019975026851	-0.123571334948583	0.0968095084754271	0.178411728733074
K00010	0.355171872328048	-0.144087500065559	0	-0.14408750006556	0	0	0	0	-0.14408750006556
K00012	-0.745188561209444	0.290456857281457	0.034628923524907	-0.0581521537080495	-0.309698179340252	-0.510437558910605	-0.262710276390939	-0.860597839602706	-4.51998711074037
K00013	0.598632954611014	0.23758383164501	0.914481144812971	0.560026974325738	-0.954466662497356	0.161163874998447	-0.00334012363242502	-0.276735361466869	0.6722800682243
K00014	-0.455924794618291	0.0650333108212934	-0.218181285095632	0.124849208668566	-0.238863321274826	0.495965489175646	0.231156633954695	-0.0108062766967703	-0.017980139606731
K00015	0.0584852745244914	0.0896793151007251	0.15318100886273	0.208282154701854	-0.0463542987965268	0.122297233903666	-0.228057065347659	0.110720103850094	0.0467059105586426
K00016	-0.181818181818182	0.0239122187121631	0.152551991373876	0.14408750006556	-0.10472755394955	-0.135038802470022	-0.0909090909090909	-0.24881505401511	0.181818181818182
K00018	0	-0.14408750006556	0	0	0	0	0	0	0
K00020	-0.587522552888819	0.0238032260626653	-0.00905451577291575	0.0734320186993552	-0.0700355274573496	0.145911197198444	-0.0706347866217672	-0.0438901301459066	0.0237926557230653
K00024	-0.14408750006556	-0.14408750006556	-0.14408750006556	-0.14408750006556	0	0	-0.14408750006556	-0.14408750006556	-0.14408750006556
K00027	0	-0.14408750006556	0	0	0	0	0	-0.14408750006556	0
K00029	-0.880106328009093	-0.331266005970108	0.178178667108886	0.591225388760626	-0.138441444325777	-0.202278777784979	-0.8404782539609	0.967795504210839	-4.74118730911165
K00030	1.07003968852132	0.102754083450745	0.0872050959215843	0.290289024549168	-0.98707510447661	-0.0577898224968323	-0.156114063897773	-0.222739352307172	0.351975028872836
K00031	-0.290037403045279	-0.679145402114576	0.242079259859563	0.163208996204745	0.118520845919267	-0.0437291504975231	0.0240296985754724	-0.290253694570372	0.171733773036407
K00033	-0.233109449141306	0.0361473132910395	0.138505632368819	-0.0457343212719934	0.301993463171578	-0.00639902980830892	-0.121656536566183	0.0754613635052443	0.135623008757243
K00036	0.14408750006556	-0.0626502509027699	0.805701719466749	-0.810868906132372	0.14408750006556	0	0	0.14408750006556	0.14408750006556
K00046	0.0470116822001003	0.290939653014888	0.464010933928048	0.0996627051234591	0.155514573747542	0.118334652745723	-0.0812722618889203	0.110300802721386	0.0266047557163967
K00048	-0.144087500065559	-0.14408750006556	0.14408750006556	0	0	0.14408750006556	0.14408750006556	-0.144087500065559	-0.14408750006556
K00050	-0.147035880556305	0.024134904169799	0.0106360665631481	0.0740517385594179	-0.0911482534285116	-0.0212714352271297	-0.128914454668981	-0.0468966497372517	0.0805387571801594
K00051	-0.144087500065559	-0.14408750006556	-0.144087500065559	0	0.0834125308916388	-0.14408750006556	-0.197443093704314	-0.14408750006556	-0.251595810363603
K00052	-0.0754613635052443	0.0485165450706785	0.0195545389790991	0.119591075066175	-0.0515491447930812	-0.0377306817526222	-0.0824445996007743	-0.0754613635052443	0.0993735822174075
K00053	-0.14408750006556	-0.14408750006556	0	-0.14408750006556	0	0	0	0	0
K00054	0.0353241170834231	0.0364125390530663	-0.0855551191769486	-0.0425004471975437	-0.145646346121416	-0.159535227469406	-0.258908809686814	-0.00698323609553016	-0.123626904098762
K00057	0.190206610899332	0.0767699081401362	0.116614020456207	0.316799815991327	-0.19002344181481	0.365720957627283	-0.00283779226790722	-0.194697232120862	0.0392828193307079
K00058	0.14408750006556	-0.405402874421572	-0.255214083823419	0.0713873773824535	-1.24338423112718	-0.14408750006556	-0.339158380884844	-0.824169900159199	0.14408750006556
K00059	0.203548308024054	0.0344101475685208	-0.197265909222028	-0.042680480300111	-0.148366432216176	0.0154477274038466	-0.0909090909090909	-0.166370454414335	0.0770906278686319
K00060	-0.157231362255272	-0.0659206892181824	-0.618127168048567	-1.03588986271673	0.0309533080552982	0.536410492849998	0.578843651713227	0.020254420480062	0.0524035865764138
K00065	0.0687947470503441	0.14720147416924	0.170158294948482	0.180649868737015	-0.068637148421374	0.131633774644998	-0.0647022997832151	0.108567002257122	0.0420140189227405
K00067	-0.278081244459415	0.0770906278686319	0	0.14408750006556	0.0909090909090909	0	0	0	0
K00068	-0.188049528359143	-0.170406283446922	0	0.14408750006556	0	-0.288175000131119	0	0	4.59863295461101
K00074	-0.146003556025403	0.156105189860232	0.0120794319731688	0.0744512688102661	-0.091931660945543	-0.0202161259551423	-0.127166978387708	-0.0461577342918043	0.0796331171937755
K00075	0.620174593721876	1.22371047302014	-1.02810821947541	-0.0176033729936244	-0.602803025307955	-0.14408750006556	0.144087500065559	0	-0.671456539968001
K00076	-0.388236881286837	-0.0690652800475898	-0.0298200831188793	0.303500249381405	-0.708618995188461	-0.352332120183592	-0.168739558647996	-0.2541507774289	-0.0258736564909079
K00077	0.0949820108329372	0.131895471171495	-0.1610190650165	-1.19344881024679	-0.056822157640212	0.133099176550749	0.063783562248518	-0.0462310180189421	0.022243471813693
K00088	-0.180456675225149	-0.0140615661584889	0.0286819841570845	0.106136704224327	-0.103366047356517	-0.0377306817526222	-0.152013370105049	-0.030341230025832	0.0623945019178399
K00091	0.624938618928306	0.152087180156271	-0.0619291948027601	-0.385306513094879	1.08793828304593	0.0438967557365834	0.903106366419206	-0.314493783512481	0.393853271557091
K00096	0.0601135628511978	0.189642617321864	0.178814121232249	0.206570532710875	-0.0832618694616152	-0.0222838205680418	0.0691448593518089	0.148812883349361	0.197316360425665
K00097	0.0770006305092436	0.188190014736412	0.179578290333898	0.221071992044624	-0.0842304131003085	-0.0210860732863568	0.0694091531745297	-0.0300709592021119	0.0395160829225796
K00099	-0.0232379626625355	0.262418084690851	0.875665130836313	1.35995384367253	0.665291296674888	0.583236282406386	0.290286431071168	-0.00617899922406179	0.344517318161649
K00100	-0.288175000131119	0.144087500065559	-0.14408750006556	0.37908409104021	-0.576350000262239	-0.288175000131119	-0.14408750006556	-0.432262500196679	0.144087500065559
K00101	0	0	0	0	0	0	0	0	0
K00104	-0.14879533516991	0.0247536727555067	0.0092098580260834	0.0723672084621095	-0.09152178858603	-0.0212963260357058	-0.130065780293071	-0.0464394075917156	0.0793100653757167
K00105	-0.195636644858641	0.186587947263103	-0.0962630626412334	-0.289172912927344	0.0896540182249972	-0.169886860611068	-0.245300361254282	0.107866088070858	0.0292661904443056
K00111	-0.034035955889227	0.135038802470022	-0.0669968721969278	0.0344101475685208	0.14408750006556	0.14408750006556	0	0.0770906278686319	0.14408750006556
K00112	0.265760168331969	0.37908409104021	-0.14408750006556	-0.14408750006556	0	0	0.14408750006556	0	-0.14408750006556
K00113	-0.142697420075208	0.336403610740099	-0.14408750006556	-0.364201142480797	0	-0.155499398436819	0.0909090909090893	0	-0.14408750006556
K00116	-0.123389436308947	-0.144087500065559	-0.00409889904804863	-0.144087500065559	-0.00115829776643492	-0.14408750006556	0.00387099208301287	-0.14408750006556	-0.144087500065559
K00121	-0.69247431433251	-0.00488491943183466	-0.231841572630086	2.22354593868822	0.0642734827103349	0.412717282069238	0.160009627112904	0.310438130490895	-0.3529320620727
K00123	-0.566398659023868	1.51382874255725	-1.06463526569735	0.480012656122398	-1.14194957061567	0.0264496391646315	-0.171733290158053	0.0730730139640679	-0.452636161782134
K00124	0.24675594614293	-0.0738335716490904	0.921349972046551	0.375916202799992	0.0992538142990378	0.64860919557916	0.489414403664688	-0.133055769656104	0.540790857341324
K00127	-0.352676492786361	-0.0351781286284183	0.141867843922511	-1.45826012864536	0.150150261192875	-0.721976654295772	-0.154339364165747	-0.233982211349156	-0.291056174966418
K00130	-0.318711441654719	-0.14408750006556	0.149719796860142	0.149441471797702	-0.00181845678614775	-0.00123564663958866	0.471474587667488	-0.144087500065559	-0.3022880348183
K00131	0.0265618864993914	-0.060597842388619	0.0669968721969278	0.0144530228327624	-0.510087064477646	-0.219548863570804	-0.219548863570804	-0.301993463171578	0.181818181818181
K00133	0.14408750006556	1.84751491864701	-0.446332403691535	0.134626597730441	-0.408770423097277	-0.658771700279193	0	-0.111126583757859	-0.64063249959266
K00134	0.345670446433645	0.562927615664736	1.66013885572529	0.562152047573029	1.66081686419769	2.9844009784686	0.207284227900993	8.57990303058119	0.164524631662561
K00135	2.43705343029901	0.69014060539654	0.0734699869278098	-0.667176733809361	-0.427754962390695	0.0505812135022166	0	-0.0972259182110256	0.508692727647442
K00138	0.0826220565680244	0.13099151175168	0.159920959699072	0.0735893563459655	0.0832401051726098	0.119465248933513	-0.072035151087176	0.101987281095315	0.0404437346244099
K00140	1.11584825182585	-0.0941211661409673	-0.0026022914279974	-0.0585065201555734	0.612201525403303	0.149045964268918	0.365734122492435	0.0135421112726626	-0.302076387636789
K00145	0	-0.14408750006556	0	-0.144087500065559	-0.14408750006556	0	0	0	0.14408750006556
K00147	-0.00944447664952008	0.0493765750024116	0.0669968721969278	-0.178361161673913	0.0164156586947112	0.0100937556717041	-0.14408750006556	-0.0999577885046294	0.0999577885046286
K00153	-0.0905740866538313	0.227779710449898	0.00771717250786481	-0.16097712501548	0.407018756396843	0.56033013237762	0.322210956020346	0.0403388668990777	0.31142509270229
K00156	0.540611281955439	0.244398239000002	-0.676152412065099	0.544166384260349	-1.01362255648546	-0.312055648180009	0.151766979971237	-1.23558930717943	0.14408750006556
K00158	-0.269406738543172	0.0912928159127341	-0.0669968721969278	-0.0767795062048002	0.0239122187121631	-0.113776251545088	-0.190282673126498	0.091954148985257	-0.0247293808237317
K00161	-0.181818181818182	-0.0669968721969278	0.0616429004647853	0.14408750006556	-0.128639772661713	-0.181818181818182	-0.0909090909090909	-0.301993463171578	0.181818181818182
K00162	-0.190282673126498	0.0387757398287886	0.000436453296710937	-0.0657917724967218	-0.044582829286888	-0.0779327116258106	-0.138943542941344	-0.0432646865873321	0.0503059687115289
K00163	0	0	0	0	0	0	0	0	0
K00164	-0.315763693060679	-0.144087500065559	-0.00973429296032112	-0.14408750006556	-0.00226915858578119	0.00253620793186665	0.471933215608052	-0.14408750006556	-0.302806022819875
K00174	2.62918248115277	0.122117228642689	0.893750800206309	2.95476746091066	-0.327480845898774	0.506307464610955	1.66338271080701	-0.0956681036757236	-0.0930757643312561
K00175	-0.149128006268743	0.0453746899320093	0.00589442088861538	0.231822493463405	-0.15825111996178	-0.0474866995072034	-0.111529687869534	-0.0484180781776528	0.065713433956408
K00176	-0.146997775967804	0.0250303316034755	0.00911953861597713	0.0719173945665875	-0.0912700772280701	-0.0213074035648427	-0.129231363774859	-0.0471798376380532	0.079397740864395
K00177	-0.151057249994142	0.0292693832883347	0.0241149411358731	0.142661670719761	-0.128787157747806	-0.0287180022446	-0.127951927742395	-0.0498950352970627	0.0691494745978131
K00179	-0.146147905478205	0.0241139078405675	0.013952332514548	0.073378346684376	-0.0902600296119415	-0.0229058366223556	-0.128487486289356	-0.0464493222686183	0.0784375313946965
K00180	-0.146354735896848	0.0233375940623597	0.019971629202894	0.0737384169244338	-0.0875078100278405	-0.0195134496921241	-0.128721655794255	-0.0442716919525191	0.0809734602680885
K00184	0.00789054456985157	-0.253321666969115	-0.0798574266435888	0.476247577945283	-0.235452070440776	-0.216500260322698	-0.492557352765581	-0.0371057508279035	-0.112410785420683
K00185	-0.00186260427815974	0.05410084628254	0.592406541356013	0.903242786288045	-0.0891211916719428	-0.216286921333693	-0.492417631271591	0.0580437652177188	-0.116369966056347
K00188	0.261169387153591	-0.14408750006556	0	0	0	0	-0.14408750006556	0.144087500065559	0.14408750006556
K00198	-0.649006397556928	0.291854123399515	2.15808912190469	1.78912610049473	-0.0585296658847898	-0.10872184903763	-0.145654596808089	-1.07729345602073	0.369092172220944
K00208	-0.747031936416449	-1.47222041927828	-0.0261725774831255	0.539393273628977	-0.13030230518356	-0.4640057764418	-0.979166701240598	0.102820732068765	-0.162236104780923
K00209	-1.17612883168489	2.15218194996927	-0.545389635006715	2.75521836353916	-0.15254421233818	0.110745261305163	-0.161439333263341	-0.858621361247716	-0.504068850872721
K00215	-0.14408750006556	0.308805971939779	-0.170406283446922	-0.130292501394897	-0.211084372262487	-0.14408750006556	0.167783114113087	-0.14408750006556	-0.14408750006556
K00216	-0.403138174660338	0.259249912856005	0.793882804712329	-0.157715746836815	1.13932069492402	3.09581325226318	1.62491970194464	0.556689981507817	-0.0762725793381678
K00226	-0.0909090909090909	-0.0909090909090909	-0.0909090909090909	-0.0909090909090909	0	0	0	-0.0909090909090909	-0.0909090909090909
K00228	-0.146894094616334	0.0236337444408683	0.00931727462438949	0.0740545219643962	-0.0922560270623724	-0.0213197506033796	-0.128909842018094	-0.0473839312572447	0.0797287325429194
K00230	0.0620938100843237	0.189048367310127	0.0100044060525096	0.0723737959088934	-0.085328372249322	-0.0240426927730678	0.0729245102816779	0.150712523852264	0.19473968930371
K00231	0.918326397828328	-1.2472877510807	0.285611201362426	0.557376453668107	0.743419291869158	1.50746801684999	2.5681621116432	-0.301885026543139	0.231179304528704
K00239	-0.278081244459415	-0.0909090909090909	0	0.14408750006556	0	0	0	0	0
K00240	0.358365935504673	-0.0465362762301303	0.598632954611014	0.731590418261932	0.0216239095783437	0.339098109870997	0.453813768938794	-0.46475811903931	0.133993744393856
K00241	1.2877110515703	-0.144087500065559	0.0379630185620547	0.0918782367640328	-0.217628564337553	0.220037167986543	0.133839354623672	0.000504439447329797	-0.0279362538420729
K00242	-1.01313916278581	0.177902843464374	0.287693100389635	0.711218577301403	0.240228141299501	0.385581160626787	-0.342305640173962	0.452766792466465	0.0601015614261938
K00243	-0.0861693069695293	0.0632721648281725	-0.12058577963726	0.114410811337391	-0.0719466707444166	-0.14408750006556	-0.10472755394955	0.167999718777723	0.0348480581410461
K00244	-1.88060116556239	-0.103430689256635	0.824993778658225	0.989347152600008	0.591567310873016	0.00705260213470218	0.331563093143879	0.275849146721137	0.489391686920314
K00245	-1.42204866835612	1.70630482203204	-0.246497613233966	-0.432860831958059	-0.0555213009127749	-0.211084372262487	0	0.485055707756931	-8.76500340902535
K00246	1.62840044838847	0.115175312899505	0.996430373841179	-0.264923065884439	0.822834422478385	0.230687131474785	0.152411771395184	-0.546857969330909	-0.0494801580941164
