	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K00001	0	0	0	0	0	0	0	0	0
K00003	-0.14408750006556	-0.106941024600159	-0.0616429004647853	-0.297223697726657	-0.10472755394955	-0.0531784091564687	-0.0531784091564687	-0.0909090909090909	0.0377306817526222
K00004	-0.138776723905584	0.951971899093098	0.200730787647344	-0.33606955997578	0.926135818019115	-0.780333194686284	-0.0113509616538016	0.0914836291126768	-0.169008557915974
K00005	-0.14408750006556	0.188217211626491	-0.0111687952532308	-0.278081244459415	-0.181818181818182	-0.0645903075277287	0	-0.0909090909090909	-0.0770906278686319
K00008	-0.0262973599755001	-0.011010082476484	0.108940663340093	-0.289199637385998	-0.1072273971665	-0.171712666022782	-0.0521037125279507	-0.209412323658607	-0.140340485178612
K00009	-0.172741479534304	-0.102013513322952	0.108056618349833	-0.451919541656314	-0.100753910276605	-0.169397711323742	-0.16312471461856	-0.0210473325460631	0.00630112101847564
K00010	0.144087500065559	0.146351464251706	0	0.14561909506476	0.144087500065559	0.14408750006556	0.14408750006556	0.14408750006556	-0.002223003974958
K00012	0.0460744699758958	0.17684048904969	-0.58424964788465	0.424362598452959	0.711094847204891	-0.751043239118797	-0.414061528396035	-1.00477020378302	0.115083510404783
K00013	-0.422277895262243	0.000133898239391331	-0.00974320947126227	-0.513258570672817	0.0180431225663388	-0.063628775731338	-0.0704421476502904	-0.0390532552589089	0.421764719240388
K00014	-0.169183186837928	-0.332125717643665	0.0261638464529758	-0.947561214250569	-0.282123363001564	-0.0359935160301035	-0.0202174928487676	-0.167713876104549	-0.0403686148181739
K00015	-0.020528373678107	0.176272993566232	-0.0368577633645266	-0.273063816165902	-0.0369285357605988	-0.0240448328912935	0.00364698228012049	-0.0841888748386614	0.0127397256037311
K00016	0	0	-0.0909090909090909	-0.195636644858641	-0.181818181818182	-0.0202174928487683	-0.0909090909090909	-0.0909090909090909	0.0909090909090909
K00018	0	0	0	0	0	0	0	0	0
K00020	-0.0309614077991075	-0.189837586714938	-0.0454853771927888	-0.775344788276475	-0.071676285042652	-0.0155114241110981	-0.0149132935349198	-0.0958222826597657	-0.0230507402518243
K00024	-0.14408750006556	0	-0.14408750006556	-0.14408750006556	-0.14408750006556	0	0	0	0
K00027	0	0	0	0	-0.14408750006556	0	0	0	0
K00029	0.0751274887994953	0.120415917337881	-0.314130517972187	-0.491432578292176	0.346596871183573	0.131973411232674	-4.13844638694019	0.390288895707403	0.387104213508271
