	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T51	mean_md_H_T52	mean_md_H_T53	mean_md_H_T54	mean_md_H_T55	mean_md_H_T61	mean_md_H_T62	mean_md_H_T63	mean_md_H_T64	mean_md_H_T65	mean_md_H_T71	mean_md_H_T72	mean_md_H_T73	mean_md_H_T74	mean_md_H_T75	mean_md_H_T81	mean_md_H_T82	mean_md_H_T83	mean_md_H_T84	mean_md_H_T85
V1_10_11_T1	1.25282589937496	0.860094347083454	1.34585041856906	1.43341245549433	0.943377151655712	1.37449017340938	1.45758993482629	0.890188509846573	1.22735927449841	0.953370672485068	0.887272970298838	1.24340570428316	1.58729139172037	1.35660339431619	1.3494960947901	1.60702233060655	1.38694459275863	1.72212196237574	1.44761340893571	1.34355806531859	1.49694393417354	1.39655832559525
V1_10_11_T2	0.957942692394328	0.694959751914687	1.44049815569907	1.57875682439347	2.25505149157099	1.84050997346723	1.84304882408429	2.07889097664516	1.70275069345795	1.9937525384841	2.03833259255173	2.33891187699516	1.72789819146352	1.70775492094553	1.86283138603514	1.70111367217306	1.60744968625787	1.35281246224334	1.92154335363355	2.03277310191501	1.86324670747989	1.78383880846284
V1_10_12_T1	1.01797368608826	0.668950802424886	1.82991411786177	1.63409171391588	1.1400091401887	1.73216139332991	1.65594569050885	1.63709056745775	1.92443998534398	1.60705761579238	1.48478994719055	1.27996401479714	2.42707806293611	2.12488128206323	2.23187783347815	2.35168792897652	1.99038542852426	2.53147429668787	2.13363629923758	1.97611182225865	2.20997228051932	1.99659681167563
V1_10_12_T2	1.28057495883295	0.892630498081001	1.49591772418469	1.56927061358727	2.38021813007444	1.95327826710011	1.8169148487916	2.22091313448544	1.86073944046951	2.18353247649628	2.22811192572664	2.30227699508861	2.03022407212461	2.03629753670845	2.17733859530175	2.01643347196808	1.93108450829745	1.74081331898409	2.18532756538361	2.26590197624142	2.13254322473051	2.02691110392446
V1_10_13_T1	1.40982347445034	1.03958037858545	2.33461809075651	2.12794085029262	1.53329779674042	2.15993783094441	2.07504890606967	2.06735777721458	2.38268692884653	2.00632454222339	1.90264537572907	1.64738764673051	2.88688886941774	2.58462967902129	2.66437098935281	2.79392515217685	2.44092403056063	3.03083268065929	2.5528537300858	2.39129729062299	2.64826068692948	2.44387860147304
V1_10_13_T2	1.04413723507192	0.703767937762826	1.21106199690963	1.36484511568196	1.62774791422231	1.47369273764719	1.5752711122454	1.4518974276051	1.25554438220012	1.43513524639411	1.44472739954209	1.89003360754273	1.23373942292532	1.22116833247993	1.36826123284638	1.38074497687914	1.14490503605946	1.08341041368061	1.45945722317141	1.48445204458648	1.45836134735122	1.31082930351288
V1_10_14_T1	1.13209065820849	0.966810957390448	2.02067783272611	1.80599502026675	1.29925126132281	1.89460139693473	1.7896223097603	1.83078538313598	2.11429532536284	1.78704331640767	1.67523765011389	1.39731190374755	2.62627267261105	2.32460240204476	2.42793857341253	2.53941368978994	2.16439364845415	2.73662776594959	2.30680129116062	2.15120230862011	2.40033683751046	2.18654062766623
V1_10_14_T2	1.34986240164222	1.0413797780913	1.24374678392338	1.2826180630672	1.98544166100105	1.65839422915073	1.47350021712307	1.91757844136029	1.60971820612397	1.8839748180763	1.90407536532774	1.8739168954593	1.86806844898823	1.8785266411808	2.00826802601832	1.92240924319898	1.76334218464617	1.70081917610621	1.98691525254259	2.03234434313222	1.95597098832704	1.81980087667455
V1_10_15_T1	1.16416889547308	1.16749651335578	1.788267297628	1.6770723755702	1.51947471196385	1.79831166393212	1.60837306066089	1.90230727938426	2.01089147337657	1.89397612610862	1.80612743649134	1.4424972570697	2.53129435492252	2.30123954041559	2.42931095272374	2.44197666285122	2.13647189878092	2.5549373964919	2.22864485789982	2.15202967892427	2.35680447452167	2.16468968757644
V1_10_15_T2	1.23305021696942	1.22434968003813	1.07656218359047	1.20170521501305	1.32924211667787	1.32142922049758	1.39357171452155	1.17920051585125	1.08931237774261	1.18558693082538	1.19230934087797	1.5886665374758	1.21410703692723	1.18661968781869	1.2901035363363	1.37565345319614	1.09842597939845	1.20756611807247	1.3677587424436	1.3628011343645	1.39578361076249	1.2189078893043
