	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T51	mean_md_H_T52	mean_md_H_T53	mean_md_H_T54	mean_md_H_T55	mean_md_H_T61	mean_md_H_T62	mean_md_H_T63	mean_md_H_T64	mean_md_H_T65	mean_md_H_T71	mean_md_H_T72	mean_md_H_T73	mean_md_H_T74	mean_md_H_T75	mean_md_H_T81	mean_md_H_T82	mean_md_H_T83	mean_md_H_T84	mean_md_H_T85
139428.14341.S1	0.556627883591685	0.342854105147203	1.16418120242281	1.258652606006	1.27215588346628	1.26492661327461	1.13132812100762	1.2782938565853	1.15988480116628	1.29183034040908	1.21278275664367	1.15369286413867	1.33847078863033	1.37009284776024	1.39820388842185	1.42235420435448	1.31850688809246	1.43781038892721	1.45458842235112	1.47680663745924	1.35007771996737	1.08124490950013
139428.14341.S10	1.1784531476681	1.1910962651132	1.64272112627866	1.53837293527634	1.62501886032047	1.64989590557122	1.60183937066601	1.93942532725525	1.72001158122913	1.65676140830171	1.67976234805629	1.43356374609173	1.8653379486357	1.88839446358267	1.92689826602409	2.00978514665103	1.82282321987245	2.0205280106706	1.95894481957575	1.93172358187949	1.93340756861565	1.68227884203284
139428.14341.S100	1.29315988866901	0.93077593074106	2.53729603411287	2.26222673589156	2.34838083293036	2.39596306998752	2.2521642441186	2.8455945744387	2.56067690283019	2.44912007146293	2.4313698682138	2.18721989001437	2.7600662000779	2.71415212739335	2.76229719625707	2.81137011779108	2.60719482426583	2.93441929538311	2.67507924115356	2.66933089975859	2.71543279471124	2.4153814245545
139428.14341.S101	0.983774615720755	0.804623669557468	3.02309161543448	2.69485570851989	2.83887182950323	2.85452251305342	2.50755644289488	3.32690376987539	3.03962950479972	2.92595028688863	2.8135948813609	2.50310261737132	3.33062380566023	3.25089453240442	3.27720775506406	3.33635127880234	3.07318832866664	3.43696455755755	3.04326982691887	3.1523274602156	3.13193102218087	2.87394403677195
139428.14341.S102	1.65929635117639	1.41003777260639	3.0578824455464	2.78122243294888	2.85453009288849	2.90334887407065	2.75989622741071	3.35815962127812	3.07564988576792	2.96255121382299	2.94955743801532	2.70344348768117	3.26560857399136	3.2121237917684	3.26129830601258	3.30615018966555	3.13356749737285	3.44700325074306	3.16148010043456	3.1536444180302	3.21663096221656	2.92753961035132
139428.14341.S103	0.938620590804645	0.937597822146166	2.63874454618816	2.33528774811432	2.49019000328161	2.49884134987099	2.12094933553215	2.92953267130255	2.66091247119479	2.56398587079753	2.43133593595494	2.1150462717902	2.96571872623438	2.88650098521139	2.90519254401331	2.97176011150979	2.70144228065971	3.051562568494	2.6718852904361	2.80036043947487	2.75792336622171	2.51420207707134
139428.14341.S104	1.36519102655118	1.38810858649342	2.63629573306224	2.35383018830759	2.44128236184728	2.4903212215907	2.32642647569378	2.94520885167896	2.65768586978832	2.54626562423868	2.5210292920505	2.2706099337952	2.86378577142342	2.81423538602704	2.86130080511806	2.90870744606001	2.7033465760973	3.03578015743724	2.75939072411761	2.75257189065927	2.80330488865579	2.50389224107327
139428.14341.S105	1.22684513894369	0.859680803210246	1.73013006281503	1.62419485648866	1.70255453614482	1.72451074544993	1.71338001284003	2.01793143234861	1.78765058593383	1.72211581215473	1.77614085553721	1.55003363498976	1.92574615155811	1.94097480093268	1.98458888813688	2.07276879795528	1.91168949403015	2.08624216583733	2.03310411979029	1.98656816130982	2.00752808825303	1.77240441051638
139428.14341.S106	1.18991245134644	0.784795027481583	2.28125646020769	2.19344852860711	2.22583299999158	2.25311084105606	2.32801854027196	2.52062874959538	2.30744766820742	2.25961075784552	2.34728061912233	2.18782578585167	2.37032789564318	2.38672904149871	2.41426229707125	2.5246673074005	2.45824064481469	2.58987063832343	2.50779767953932	2.43491297126315	2.52745272286527	2.30866728465123
139428.14341.S107	0.724741516415615	0.510280082923219	2.07385167755088	1.81643873010432	1.95330173495404	1.99121462075964	1.75157868700626	2.38914045981653	2.09878703167093	2.03569025603487	1.95304229963247	1.66107458743727	2.35906459822683	2.32742510201443	2.35356167721157	2.40508480854546	2.16615878341933	2.49803523291502	2.24818327927021	2.3009442042314	2.27274660048882	2.00261023918543
