	Taxon	Confidence
sum_s_dt	sum_of_decays_for_surrounding_teeth	1
sum_ns_dt	sum_of_decays_for_non-surrounding/distant_teeth	1
sum_dmfs	sum_of_dmfs_for_all_other_teeth	1
spatial_dist_weighted_mean_dmfs	spatial-distance-weighted_mean_of_dmfs_of_all_remaining_teeth	1
spatial_dist_weighted_mean_md	spatial-distance-weighted_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_other_teeth_in_the_same_host	1
mean_md	microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_other_teeth_in_the_same_host	1
mean_md_H_T51	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_51	1
mean_md_H_T52	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_52	1
mean_md_H_T53	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_53	1
mean_md_H_T54	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_54	1
mean_md_H_T55	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_55	1
mean_md_H_T61	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_61	1
mean_md_H_T62	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_62	1
mean_md_H_T63	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_63	1
mean_md_H_T64	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_64	1
mean_md_H_T65	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_65	1
mean_md_H_T71	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_71	1
mean_md_H_T72	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_72	1
mean_md_H_T73	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_73	1
mean_md_H_T74	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_74	1
mean_md_H_T75	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_75	1
mean_md_H_T81	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_81	1
mean_md_H_T82	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_82	1
mean_md_H_T83	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_83	1
mean_md_H_T84	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_84	1
mean_md_H_T85	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_85	1
mean_md_H_T5161	average_microbiome_distance_based_on_all_KOs_between_a_focal_tooth_and_all_healthy_teeth_at_position_5161	1
