samples	PC1	PC2	PC3
A1.345.T1	0.0203556554307931	-0.0102856376604282	-0.0145071008291054
A1.35.T2	-0.00995935543164161	-0.0320161565201141	0.0409614790856946
A1.35.T5	-0.00997400714084523	0.00940148290526788	0.0424093993167313
A100.14.T3	0.0231448104400091	0.0234433654370159	0.000257987448471164
A100.14.T4	-0.0066219047246972	0.0364448780831464	0.0126998987205092
A100.145.T2	-0.00807900999333796	0.0250728798902539	-0.0290171124816313
A100.15.T3	-0.00084098268379845	0.0184506392062621	-0.0231531531927934
A100.15.T4	-0.0173306916131975	0.0193935466600552	-0.012053704011083
A100.24.T3	0.00886623150562814	0.0182021736604257	-0.0347595468841736
A100.24.T4	-0.00700793091593288	0.0347130095077484	0.0102588677586229
A100.245.T2	-0.00168848674682488	0.0281902701842458	-0.0256176538103259
A100.25.T3	-0.0170685602906729	0.0255307028644927	-0.0214629339089249
A100.25.T4	-0.0253926632265874	0.0216991400758608	0.000181391285155136
A100.34.T3	-0.0331814526843114	0.00741202560203047	0.00720279522613896
A100.34.T4	-0.0395199143671169	0.0176038577323077	0.0468379524416449
A100.345.T2	-0.0316966059082723	0.0175973344312933	0.00582848181535724
A100.35.T3	-0.0353098107121343	0.016425421620369	0.00941265193309361
A100.35.T4	-0.0383876190035414	0.0226526076180123	0.0261785873215583
A100.44.T3	-0.0172086928911843	0.0154310639383724	-0.0233561587646438
A100.44.T4	-0.0387425236240362	0.0190437983477439	0.0358736312219325
A100.445.T2	-0.0248639135481071	0.0198491102896234	0.0056731343869822
A100.45.T3	-0.0330772389244786	0.0142480593952943	0.00181886858404255
A100.45.T4	-0.0332350724952278	0.0241798334235091	0.0251861480710203
A100.I.T2	-0.0195286884691057	0.0210348134525772	-0.00553640312433896
A100.I.T3	-0.0253793490622944	0.00196960870963075	-0.0154943548459917
A100.I.T4	0.00242852023024889	0.00502620691400752	-0.0515770992205039
A103.14.T3	0.0372517274414668	0.00853279477665726	0.00626692257248755
A103.14.T5	0.0392038937584223	0.0189090865223629	0.0260602107889025
A103.15.T3	0.020275343109921	0.0262038929439557	0.0224736507307393
A103.15.T5	0.00221242104721692	0.0307019913576898	0.0249123642240242
A103.24.T3	0.0229603906569993	-0.00145279563229847	-0.0224487398348491
A103.24.T5	0.0117284964348834	-0.00595565220611571	0.0040567491512618
A103.25.T5	-0.0159726604633645	0.0166042104856213	-0.0292314421555429
A103.34.T3	-0.00281551717435166	-0.0277721861351556	-0.0102199770657094
A103.34.T5	-0.000737490864040946	-0.0163386391055792	0.0219423242463185
A103.35.T5	-0.0145011696302404	-0.0148225927160789	0.0482990648790984
A103.44.T3	-0.00971183607598861	-0.0209675528286822	0.00477982905919465
A103.44.T5	-0.0279328224218636	-0.0105059757531085	0.030397770787182
A103.45.T3	0.017264682300859	-0.0265381957484049	-0.0200673575974153
A103.45.T5	-0.00342279137349958	-0.0194749992102822	0.00726321666784492
A103.I.T3	0.0194882886251122	-0.074791435738483	0.0347244862770932
A103.I.T5	0.0190612225858036	-0.0423273320433537	0.00375333749793276
A125.14.T5	-0.0338026088399591	-0.011515718314255	0.050895483792063
A125.15.T5	-0.033065162374104	-0.0119961924758948	0.046487759212088
A125.24.T5	-0.0266826544084604	-0.00892252102513585	0.0246244775112432
A125.25.T5	-0.0292633490285942	0.00198515890164904	0.00390112566555811
A125.34.T5	-0.017399846998942	-0.0168553131360877	0.0133824432853787
A125.35.T5	-0.0177442598547346	-0.0378328009447529	0.0269076280951333
A125.44.T5	-0.0310708505635334	-0.0100658574928945	0.0248952822966122
A125.45.T4	-0.0141760630003752	-0.0198098814099389	0.00619641787469954
A125.45.T5	-0.0192638173314894	-0.0336675092912557	0.0224542443898392
A125.I.T5	-0.0269921696095433	-0.0306700574578725	0.0633464313907292
A126.14.T3	0.00171064335000955	0.0145024448110707	0.0185986743957254
A126.15.T3	0.0302544511764686	-0.00148741692615187	0.00458069241807206
A126.24.T3	0.0461200661910232	0.0157363158112229	0.0266435591368587
A126.25.T3	0.047684736811003	0.00905886934252509	0.0246964169658248
A126.34.T3	-0.0113282930958841	-0.00480977447675949	0.0110813075695942
A126.35.T3	0.0369945079772911	-0.0257309277735284	0.0133000172745633
A126.44.T3	0.00876751665378379	-0.0213117507828259	0.0313638983172665
A126.45.T3	0.0368350185157002	-0.0180783426157423	0.000728751828570326
A13.35.T2	-0.0165752230093574	0.0221763481427812	0.0153563847180472
A13.35.T5	0.0271946525014029	-0.00208140664224658	-0.0396967092597504
A14.145.T1	-0.00994362568548323	-0.00223449305581273	0.00708649422566609
A14.45.T3	-0.00245821557022184	-0.0137268537679471	-0.0513504796567867
A14.45.T4	0.0107973076283125	-0.0212676038361221	-0.0126932554577547
A146.14.T3	-0.0160500502321185	0.012678791673681	-0.0107988100537332
A146.15.T3	-0.0137386610253392	-0.000386041058428448	-0.00310610504617431
A146.24.T3	-0.0145056064330316	0.0249686298095637	0.00191599514578632
A146.25.T3	-0.00114733368919086	0.0167986960769748	-0.0246582817487491
A146.34.T3	-0.0117360156463997	-0.00869334594704986	0.0149434585990022
A146.35.T3	-0.000312449517713134	0.0236063469155806	-0.0222742216177776
A146.44.T3	-0.0189780274094206	0.0249594825247928	0.0202673773646506
A146.45.T3	-0.00797671427488325	0.0101253308550845	0.00543319550069836
A146.I.T3	-0.0225479620590595	0.00790643095530106	0.0302089081261023
A15.245.T1	0.01507710045666	0.000998216415483626	-0.0346040741288868
A15.25.T2	0.00365663833203928	-0.0229808028135641	0.00659129301685995
A15.25.T4	0.00482765579659649	0.000556630100753373	-0.0214325568286554
A151.14.T3	0.0325849220307664	0.027163089008403	0.0185211480919686
A151.14.T5	0.0232755095932816	0.022473944068285	-0.0221516730559553
A151.15.T3	0.0407152247678954	0.0166034627178746	0.00866222566726258
A151.15.T5	0.0347322843997109	0.0170575715335168	-0.019754360278889
A151.24.T3	0.0442924526574898	0.0169069891750219	0.0354030568796752
A151.24.T5	0.0360561305031811	0.020903308152807	0.0118889067942139
A151.25.T3	0.0421933993610423	0.0165102962599458	-0.000612273842874479
A151.25.T5	0.0246220416366618	0.015226163389519	-0.0171777696524134
A151.34.T3	-0.00671553279052906	0.0198241841721927	-0.000156796983877651
A151.34.T5	-0.00609976841042532	0.012437896999462	-0.0276399757179394
A151.35.T3	0.0288775814666023	-0.00344862985143145	0.000990199385685891
A151.35.T5	0.020608707260848	-0.00178615248474173	-0.00536392018296591
A151.44.T3	0.0132499459177359	-0.0120791467964458	0.00719987461548703
A151.44.T5	-0.0195762857495334	-0.00620228258150582	-0.017064316863834
A151.45.T3	0.0227957323596226	-0.00994763930805474	-0.02218819620003
A151.45.T5	-0.00671984052107524	-0.00470385111416233	-0.0235804353960923
A151.I.T3	0.0078613525007755	-0.0412201595625893	0.0104303294278016
A151.I.T5	-0.0264191115179596	0.00470168137630459	0.00326792510449097
A154.14.T3	0.00572948180752733	0.028065128821967	0.0014897644712092
A154.14.T5	0.0276755209927701	0.0145422223976202	0.0126130045813596
A154.15.T3	0.0108854066561779	0.0163533592518487	-0.0437055743067003
A154.15.T5	0.030674879141066	0.00676056762136452	-0.00708063661696771
A154.24.T3	-0.0156588925634145	0.0211723693408257	0.000868498265805057
A154.24.T5	0.0454317482068068	0.00826769738427843	0.0177684742513647
A154.25.T3	-0.00257840813825302	0.0191783373064436	-0.0351705028700425
A154.25.T5	0.0429077134335746	0.0187473684230812	0.0297037266839594
A154.34.T3	-0.0186318734306618	-0.00345903816615377	0.0020552705046502
A154.34.T5	0.0265201871022005	0.000936147422268949	-0.0197186610472732
A154.35.T3	-0.000140980751542219	-0.0311604142238222	0.000829133220312198
A154.35.T5	0.0192325206107331	-0.0173450849646448	0.00855312449882668
A154.44.T3	-0.0171252797484802	3.25034202056571e-05	-0.00386126053742695
A154.44.T5	0.0230393413704146	-0.0110561588617909	-0.0346042120508343
A154.45.T3	-0.00017552958992864	-0.00713019431662551	-0.036244956409743
