Feature ID	Taxon	Confidence
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	1
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	1
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	1
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	1
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	1
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	1
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	1
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	1
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	1
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	1
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	1
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	1
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	1
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]	1
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	1
K00028	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	1
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	1
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	1
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	1
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	1
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	1
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	1
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	1
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	1
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	1
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	1
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	1
K00051	E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]	1
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	1
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	1
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	1
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	1
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	1
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	1
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	1
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	1
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	1
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	1
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	1
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	1
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	1
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	1
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	1
K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	1
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	1
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	1
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	1
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	1
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	1
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	1
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	1
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	1
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	1
K00104	glcD; glycolate oxidase [EC:1.1.3.15]	1
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	1
K00107	ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	1
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	1
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	1
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	1
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	1
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	1
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	1
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	1
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	1
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	1
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	1
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	1
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	1
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	1
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	1
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	1
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	1
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	1
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	1
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	1
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	1
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	1
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	1
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	1
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	1
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	1
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	1
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	1
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	1
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	1
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	1
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	1
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	1
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	1
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	1
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	1
K00184	K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	1
K00185	K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	1
K00188	vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	1
K00189	vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]	1
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	1
