Taxon	feature	n	n_NA	n_neg	n_pos	imp_sum	imp_mean	imp_rank_sum	imp_rank_mean	imp_rank_min
"aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]"	K18816	9	0	0	0	0	0	14232.5	1581.38888888889	1384.5
"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"	K18118	9	0	5	2	-7.03578763585119e-05	-7.81754181761243e-06	16501.5	1833.5	257
"ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein"	K11050	9	0	2	7	0.00102397361751154	0.000113774846390171	8160	906.666666666667	33
"ABC-2.CYL.P, cylB; multidrug/hemolysin transport system permease protein"	K11051	9	0	3	3	0.000129181743411496	1.43535270457218e-05	13425.5	1491.72222222222	255
"ABC-2.OM, wza; polysaccharide biosynthesis/export protein"	K01991	9	0	4	5	0.000105408024939658	1.17120027710731e-05	12330.5	1370.05555555556	423
"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	K06147	9	0	1	8	0.000670837377539552	7.45374863932836e-05	8420	935.555555555556	63
"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial"	K06148	9	0	3	5	3.46158138666565e-05	3.84620154073961e-06	13330.5	1481.16666666667	595
"ABCF3; ATP-binding cassette, subfamily F, member 3"	K06158	9	0	0	0	0	0	14232.5	1581.38888888889	1384.5
"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]"	K06113	9	0	4	5	0.000199426914612222	2.21585460680247e-05	12301	1366.77777777778	98
"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"	K00249	9	0	2	5	0.000120396973026978	1.3377441447442e-05	11375	1263.88888888889	470
"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	K00248	9	0	2	7	0.000395101609881721	4.39001788757467e-05	9026	1002.88888888889	88
"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"	K02160	9	0	2	0	-4.14746543778802e-05	-4.60829493087558e-06	15545	1727.22222222222	1384.5
"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	K01961	9	0	3	6	9.27517219036558e-05	1.0305746878184e-05	12064	1340.44444444444	311
"aceB, glcB; malate synthase [EC:2.3.3.9]"	K01638	9	0	4	4	2.03204079838195e-05	2.25782310931328e-06	13981	1553.44444444444	501
"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"	K01681	9	0	5	4	-1.77600975113501e-05	-1.97334416792779e-06	14493	1610.33333333333	221
